Video Name,Duration (seconds)
ApplyEyeMakeup.mp4,974.84
ApplyLipstick.mp4,790.68
Archery.mp4,947.92
BabyCrawling.mp4,870.0
BalanceBeam.mp4,513.64
BandMarching.mp4,1294.92
BaseballPitch.mp4,499.5
Basketball.mp4,623.12
BasketballDunk.mp4,398.16
BenchPress.mp4,758.64
Biking.mp4,1012.61
Billiards.mp4,1717.48
BlowDryHair.mp4,1211.76
BlowingCandles.mp4,447.48
BodyWeightSquats.mp4,574.28
Bowling.mp4,781.12
BoxingPunchingBag.mp4,1250.48
BoxingSpeedBag.mp4,1273.8
BreastStroke.mp4,733.6
BrushingTeeth.mp4,1320.2
CleanAndJerk.mp4,848.64
CliffDiving.mp4,485.32
CricketBowling.mp4,539.84
CricketShot.mp4,633.76
CuttingInKitchen.mp4,752.44
Diving.mp4,862.66
Drumming.mp4,1860.2
Fencing.mp4,582.8
FieldHockeyPenalty.mp4,590.08
FloorGymnastics.mp4,755.52
FrisbeeCatch.mp4,477.88
FrontCrawl.mp4,920.04
GolfSwing.mp4,771.54
Haircut.mp4,870.0
Hammering.mp4,708.48
HammerThrow.mp4,1040.8
HandstandPushups.mp4,594.04
HandstandWalking.mp4,740.2
HeadMassage.mp4,1075.84
HighJump.mp4,551.84
HorseRace.mp4,1060.66
HorseRiding.mp4,1046.71
HulaHoop.mp4,523.36
IceDancing.mp4,1573.6
JavelinThrow.mp4,474.28
JugglingBalls.mp4,1205.64
JumpingJack.mp4,346.81
JumpRope.mp4,2114.55
Kayaking.mp4,1121.56
Knitting.mp4,1045.0
LongJump.mp4,699.64
Lunges.mp4,1156.88
MilitaryParade.mp4,629.88
Mixing.mp4,628.16
MoppingFloor.mp4,923.72
Nunchucks.mp4,1223.68
ParallelBars.mp4,651.6
PizzaTossing.mp4,554.72
PlayingCello.mp4,1506.84
PlayingDaf.mp4,1763.12
PlayingDhol.mp4,1917.04
PlayingFlute.mp4,1658.92
PlayingGuitar.mp4,1597.36
PlayingPiano.mp4,769.97
PlayingSitar.mp4,2250.36
PlayingTabla.mp4,1208.64
PlayingViolin.mp4,735.32
PoleVault.mp4,837.94
PommelHorse.mp4,1399.06
PullUps.mp4,459.89
Punch.mp4,1733.36
PushUps.mp4,336.16
Rafting.mp4,845.88
RockClimbingIndoor.mp4,2201.8
RopeClimbing.mp4,785.96
Rowing.mp4,1813.16
SalsaSpin.mp4,1163.6
ShavingBeard.mp4,1426.48
Shotput.mp4,520.36
SkateBoarding.mp4,659.44
Skiing.mp4,1165.84
Skijet.mp4,767.3
SkyDiving.mp4,833.56
SoccerJuggling.mp4,1446.65
SoccerPenalty.mp4,526.36
StillRings.mp4,829.52
SumoWrestling.mp4,908.96
Surfing.mp4,1012.84
Swing.mp4,884.48
TableTennisShot.mp4,927.64
TaiChi.mp4,730.24
TennisSwing.mp4,882.78
ThrowDiscus.mp4,500.96
TrampolineJumping.mp4,801.27
Typing.mp4,1067.84
UnevenBars.mp4,635.4
VolleyballSpiking.mp4,428.83
WalkingWithDog.mp4,925.19
WallPushups.mp4,575.8
WritingOnBoard.mp4,973.0
YoYo.mp4,934.04
