Action Category,Sample Count Standard Deviation
ApplyEyeMakeup,1.0000000000000002
ApplyLipstick,0.7118052168020873
Archery,1.224744871391589
BabyCrawling,1.021436896402971
BalanceBeam,0.7483314773547879
BandMarching,1.0408329997330663
BaseballPitch,1.2583057392117916
Basketball,1.1860297916438132
BasketballDunk,1.0908712114635717
BenchPress,1.0
Biking,1.1503622617824931
Billiards,1.118033988749895
BlowDryHair,1.16476034731041
BlowingCandles,0.8103497187428811
BodyWeightSquats,0.9183318209303942
Bowling,1.1902380714238086
BoxingPunchingBag,1.0456258094238746
BoxingSpeedBag,1.1860297916438132
BreastStroke,0.20000000000000004
BrushingTeeth,1.1284207253207172
CleanAndJerk,0.8717797887081348
CliffDiving,1.2622730819174326
CricketBowling,1.1930353445448856
CricketShot,0.6904105059069325
CuttingInKitchen,0.8164965809277259
Diving,1.2583057392117916
Drumming,0.960902353693305
Fencing,0.650640709864771
FieldHockeyPenalty,1.240967364599086
FloorGymnastics,1.118033988749895
FrisbeeCatch,0.7348469228349533
FrontCrawl,1.2948616399703357
GolfSwing,1.2935738607954836
Haircut,1.2583057392117916
Hammering,1.3228756555322954
HammerThrow,1.0408329997330663
HandstandPushups,1.2688577540449522
HandstandWalking,0.9609023536933048
HeadMassage,1.3012814197295421
HighJump,0.9092121131323901
HorseRace,0.9780933834080806
HorseRiding,0.7118052168020873
HulaHoop,0.9574271077563381
IceDancing,0.9451631252505215
JavelinThrow,0.8524474568362945
JugglingBalls,0.9865765724632498
JumpingJack,1.3203534880225574
JumpRope,1.2000000000000002
Kayaking,1.2871156384205218
Knitting,1.0376254944182253
LongJump,1.0115993936995682
Lunges,1.2884098726725126
MilitaryParade,1.1902380714238083
Mixing,1.3564659966250536
MoppingFloor,0.7637626158259733
Nunchucks,1.1372481406154653
ParallelBars,1.0033277962194944
PizzaTossing,0.9183318209303939
PlayingCello,0.9609023536933048
PlayingDaf,1.2409673645990857
PlayingDhol,0.9165151389911679
PlayingFlute,0.9128709291752769
PlayingGuitar,1.0801234497346432
PlayingPiano,0.7071067811865478
PlayingSitar,1.2083045973594573
PlayingTabla,0.650640709864771
PlayingViolin,0.0
PoleVault,1.2741009902410931
PommelHorse,1.3203534880225574
PullUps,0.0
Punch,1.0801234497346432
PushUps,0.27688746209726905
Rafting,0.8205689083394113
RockClimbingIndoor,1.2342339054382412
RopeClimbing,1.0115993936995682
Rowing,1.2288205727444508
SalsaSpin,0.9451631252505214
ShavingBeard,1.0033277962194942
Shotput,1.3316656236958786
SkateBoarding,0.8660254037844387
Skiing,1.2247448713915892
Skijet,0.0
SkyDiving,0.6454972243679027
SoccerJuggling,1.0923979738782625
SoccerPenalty,0.918331820930394
StillRings,1.0456258094238748
SumoWrestling,1.1135528725660047
Surfing,1.3063945294843617
Swing,1.1284207253207175
TableTennisShot,1.3844373104863459
TaiChi,0.0
TennisSwing,0.4898979485566356
ThrowDiscus,1.190238071423808
TrampolineJumping,0.8793937305515281
Typing,1.4456832294800959
UnevenBars,0.62449979983984
VolleyballSpiking,1.1135528725660049
WalkingWithDog,0.812403840463596
WallPushups,1.0
WritingOnBoard,1.2220201853215573
YoYo,0.9273618495495703
