Video Name,Action Category,Duration (seconds),Standard Deviation
v_ApplyEyeMakeup_g01_c01.avi,ApplyEyeMakeup,6.56,1.9923631206679433
v_ApplyEyeMakeup_g01_c02.avi,ApplyEyeMakeup,4.92,1.9923631206679433
v_ApplyEyeMakeup_g01_c03.avi,ApplyEyeMakeup,10.36,1.9923631206679433
v_ApplyEyeMakeup_g01_c04.avi,ApplyEyeMakeup,9.4,1.9923631206679433
v_ApplyEyeMakeup_g01_c05.avi,ApplyEyeMakeup,11.84,1.9923631206679433
v_ApplyEyeMakeup_g01_c06.avi,ApplyEyeMakeup,4.88,1.9923631206679433
v_ApplyEyeMakeup_g02_c01.avi,ApplyEyeMakeup,6.8,1.9923631206679433
v_ApplyEyeMakeup_g02_c02.avi,ApplyEyeMakeup,5.84,1.9923631206679433
v_ApplyEyeMakeup_g02_c03.avi,ApplyEyeMakeup,8.64,1.9923631206679433
v_ApplyEyeMakeup_g02_c04.avi,ApplyEyeMakeup,6.8,1.9923631206679433
v_ApplyEyeMakeup_g03_c01.avi,ApplyEyeMakeup,8.36,1.9923631206679433
v_ApplyEyeMakeup_g03_c02.avi,ApplyEyeMakeup,5.36,1.9923631206679433
v_ApplyEyeMakeup_g03_c03.avi,ApplyEyeMakeup,4.6,1.9923631206679433
v_ApplyEyeMakeup_g03_c04.avi,ApplyEyeMakeup,4.32,1.9923631206679433
v_ApplyEyeMakeup_g03_c05.avi,ApplyEyeMakeup,5.84,1.9923631206679433
v_ApplyEyeMakeup_g03_c06.avi,ApplyEyeMakeup,6.08,1.9923631206679433
v_ApplyEyeMakeup_g04_c01.avi,ApplyEyeMakeup,5.04,1.9923631206679433
v_ApplyEyeMakeup_g04_c02.avi,ApplyEyeMakeup,5.28,1.9923631206679433
v_ApplyEyeMakeup_g04_c03.avi,ApplyEyeMakeup,4.56,1.9923631206679433
v_ApplyEyeMakeup_g04_c04.avi,ApplyEyeMakeup,7.24,1.9923631206679433
v_ApplyEyeMakeup_g04_c05.avi,ApplyEyeMakeup,4.24,1.9923631206679433
v_ApplyEyeMakeup_g04_c06.avi,ApplyEyeMakeup,9.92,1.9923631206679433
v_ApplyEyeMakeup_g04_c07.avi,ApplyEyeMakeup,6.32,1.9923631206679433
v_ApplyEyeMakeup_g05_c01.avi,ApplyEyeMakeup,10.72,1.9923631206679433
v_ApplyEyeMakeup_g05_c02.avi,ApplyEyeMakeup,10.56,1.9923631206679433
v_ApplyEyeMakeup_g05_c03.avi,ApplyEyeMakeup,6.32,1.9923631206679433
v_ApplyEyeMakeup_g05_c04.avi,ApplyEyeMakeup,7.44,1.9923631206679433
v_ApplyEyeMakeup_g05_c05.avi,ApplyEyeMakeup,9.08,1.9923631206679433
v_ApplyEyeMakeup_g05_c06.avi,ApplyEyeMakeup,4.6,1.9923631206679433
v_ApplyEyeMakeup_g05_c07.avi,ApplyEyeMakeup,9.4,1.9923631206679433
v_ApplyEyeMakeup_g06_c01.avi,ApplyEyeMakeup,5.56,1.9923631206679433
v_ApplyEyeMakeup_g06_c02.avi,ApplyEyeMakeup,5.56,1.9923631206679433
v_ApplyEyeMakeup_g06_c03.avi,ApplyEyeMakeup,9.8,1.9923631206679433
v_ApplyEyeMakeup_g06_c04.avi,ApplyEyeMakeup,4.0,1.9923631206679433
v_ApplyEyeMakeup_g06_c05.avi,ApplyEyeMakeup,11.24,1.9923631206679433
v_ApplyEyeMakeup_g06_c06.avi,ApplyEyeMakeup,5.84,1.9923631206679433
v_ApplyEyeMakeup_g06_c07.avi,ApplyEyeMakeup,6.68,1.9923631206679433
v_ApplyEyeMakeup_g07_c01.avi,ApplyEyeMakeup,6.32,1.9923631206679433
v_ApplyEyeMakeup_g07_c02.avi,ApplyEyeMakeup,6.72,1.9923631206679433
v_ApplyEyeMakeup_g07_c03.avi,ApplyEyeMakeup,5.32,1.9923631206679433
v_ApplyEyeMakeup_g07_c04.avi,ApplyEyeMakeup,5.68,1.9923631206679433
v_ApplyEyeMakeup_g07_c05.avi,ApplyEyeMakeup,3.92,1.9923631206679433
v_ApplyEyeMakeup_g07_c06.avi,ApplyEyeMakeup,6.48,1.9923631206679433
v_ApplyEyeMakeup_g07_c07.avi,ApplyEyeMakeup,4.56,1.9923631206679433
v_ApplyEyeMakeup_g08_c01.avi,ApplyEyeMakeup,4.8,1.9923631206679433
v_ApplyEyeMakeup_g08_c02.avi,ApplyEyeMakeup,4.68,1.9923631206679433
v_ApplyEyeMakeup_g08_c03.avi,ApplyEyeMakeup,5.84,1.9923631206679433
v_ApplyEyeMakeup_g08_c04.avi,ApplyEyeMakeup,8.96,1.9923631206679433
v_ApplyEyeMakeup_g08_c05.avi,ApplyEyeMakeup,11.04,1.9923631206679433
v_ApplyEyeMakeup_g09_c01.avi,ApplyEyeMakeup,7.04,1.9923631206679433
v_ApplyEyeMakeup_g09_c02.avi,ApplyEyeMakeup,10.32,1.9923631206679433
v_ApplyEyeMakeup_g09_c03.avi,ApplyEyeMakeup,8.4,1.9923631206679433
v_ApplyEyeMakeup_g09_c04.avi,ApplyEyeMakeup,7.64,1.9923631206679433
v_ApplyEyeMakeup_g09_c05.avi,ApplyEyeMakeup,7.76,1.9923631206679433
v_ApplyEyeMakeup_g09_c06.avi,ApplyEyeMakeup,7.52,1.9923631206679433
v_ApplyEyeMakeup_g09_c07.avi,ApplyEyeMakeup,10.44,1.9923631206679433
v_ApplyEyeMakeup_g10_c01.avi,ApplyEyeMakeup,6.12,1.9923631206679433
v_ApplyEyeMakeup_g10_c02.avi,ApplyEyeMakeup,3.92,1.9923631206679433
v_ApplyEyeMakeup_g10_c03.avi,ApplyEyeMakeup,4.24,1.9923631206679433
v_ApplyEyeMakeup_g10_c04.avi,ApplyEyeMakeup,4.96,1.9923631206679433
v_ApplyEyeMakeup_g10_c05.avi,ApplyEyeMakeup,4.8,1.9923631206679433
v_ApplyEyeMakeup_g11_c01.avi,ApplyEyeMakeup,5.6,1.9923631206679433
v_ApplyEyeMakeup_g11_c02.avi,ApplyEyeMakeup,7.12,1.9923631206679433
v_ApplyEyeMakeup_g11_c03.avi,ApplyEyeMakeup,5.0,1.9923631206679433
v_ApplyEyeMakeup_g11_c04.avi,ApplyEyeMakeup,5.52,1.9923631206679433
v_ApplyEyeMakeup_g11_c05.avi,ApplyEyeMakeup,7.2,1.9923631206679433
v_ApplyEyeMakeup_g12_c01.avi,ApplyEyeMakeup,9.04,1.9923631206679433
v_ApplyEyeMakeup_g12_c02.avi,ApplyEyeMakeup,4.8,1.9923631206679433
v_ApplyEyeMakeup_g12_c03.avi,ApplyEyeMakeup,5.64,1.9923631206679433
v_ApplyEyeMakeup_g12_c04.avi,ApplyEyeMakeup,8.32,1.9923631206679433
v_ApplyEyeMakeup_g12_c05.avi,ApplyEyeMakeup,5.08,1.9923631206679433
v_ApplyEyeMakeup_g12_c06.avi,ApplyEyeMakeup,8.48,1.9923631206679433
v_ApplyEyeMakeup_g13_c01.avi,ApplyEyeMakeup,7.0,1.9923631206679433
v_ApplyEyeMakeup_g13_c02.avi,ApplyEyeMakeup,3.96,1.9923631206679433
v_ApplyEyeMakeup_g13_c03.avi,ApplyEyeMakeup,6.72,1.9923631206679433
v_ApplyEyeMakeup_g13_c04.avi,ApplyEyeMakeup,4.8,1.9923631206679433
v_ApplyEyeMakeup_g13_c05.avi,ApplyEyeMakeup,4.76,1.9923631206679433
v_ApplyEyeMakeup_g13_c06.avi,ApplyEyeMakeup,5.48,1.9923631206679433
v_ApplyEyeMakeup_g14_c01.avi,ApplyEyeMakeup,7.4,1.9923631206679433
v_ApplyEyeMakeup_g14_c02.avi,ApplyEyeMakeup,7.44,1.9923631206679433
v_ApplyEyeMakeup_g14_c03.avi,ApplyEyeMakeup,9.48,1.9923631206679433
v_ApplyEyeMakeup_g14_c04.avi,ApplyEyeMakeup,5.28,1.9923631206679433
v_ApplyEyeMakeup_g14_c05.avi,ApplyEyeMakeup,6.4,1.9923631206679433
v_ApplyEyeMakeup_g15_c01.avi,ApplyEyeMakeup,6.76,1.9923631206679433
v_ApplyEyeMakeup_g15_c02.avi,ApplyEyeMakeup,7.72,1.9923631206679433
v_ApplyEyeMakeup_g15_c03.avi,ApplyEyeMakeup,9.28,1.9923631206679433
v_ApplyEyeMakeup_g15_c04.avi,ApplyEyeMakeup,7.48,1.9923631206679433
v_ApplyEyeMakeup_g15_c05.avi,ApplyEyeMakeup,10.36,1.9923631206679433
v_ApplyEyeMakeup_g15_c06.avi,ApplyEyeMakeup,7.88,1.9923631206679433
v_ApplyEyeMakeup_g15_c07.avi,ApplyEyeMakeup,7.28,1.9923631206679433
v_ApplyEyeMakeup_g16_c01.avi,ApplyEyeMakeup,5.0,1.9923631206679433
